timestamp,symbol,price,volume,support,resistance,setup,entry,target,grade,score,trade_status
2026-08-26 19:26:03,JBLU,4.989999771118164,30172039.216666665,4.769999980926514,5.21999979019165,DAILY MACD BULLISH RECOVERY,5.230000019073486,5.300000190734863,A,7,waiting
2026-08-26 19:26:03,DNUT,3.440000057220459,2957063.35,3.4000000953674316,3.4600000381469727,DAILY MACD BULLISH RECOVERY,3.1700000762939453,3.3499999046325684,NO TRADE,8,Target Reached
2026-08-26 19:26:03,SOFI,18.84000015258789,73919775.91666667,17.93000030517578,18.860000610351562,DAILY MACD BULLISH RECOVERY,18.079999923706055,18.43000030517578,NO TRADE,8,Target Reached
2026-08-26 19:26:03,PLUG,2.1700000762939453,57336836.56666667,2.119999885559082,2.2100000381469727,DAILY MACD BULLISH RECOVERY,2.200000047683716,2.2100000381469727,NO TRADE,5,Target Reached
2026-08-26 19:26:03,SIRI,28.510000228881836,4827205.2,28.190000534057617,28.770000457763672,DAILY MACD BULLISH RECOVERY,28.820499420166016,29.40999984741211,A+,8,waiting
2026-08-26 19:26:03,OPEN,3.4100000858306885,58575400.86666667,3.380000114440918,3.75,DAILY MACD BULLISH RECOVERY,3.6600000858306885,3.75,NO TRADE,7,"Triggered, Target Not Reached"
2026-08-26 19:26:03,LCID,4.949999809265137,17405221.833333332,4.929999828338623,5.53000020980835,DAILY MACD BULLISH RECOVERY,5.400000095367432,5.53000020980835,A+,8,waiting
2026-08-26 19:26:03,NOK,10.40999984741211,95416027.51666667,9.829999923706055,10.5600004196167,DAILY MACD BULLISH RECOVERY,9.430000305175781,10.170000076293945,NO TRADE,8,Target Reached
2026-08-26 19:26:03,AMC,2.609999895095825,42305968.416666664,2.319999933242798,2.6700000762939453,,,,NO TRADE,1,No Entry
2026-08-26 19:26:03,F,13.899999618530273,50671752.43333333,13.850000381469727,14.180000305175781,DAILY MACD BULLISH RECOVERY,14.5,14.550000190734863,NO TRADE,5,"Triggered, Target Not Reached"
2026-08-26 19:28:33,JBLU,4.989999771118164,30172039.216666665,4.769999980926514,5.21999979019165,DAILY MACD BULLISH RECOVERY,5.230000019073486,5.300000190734863,A,7,waiting
2026-08-26 19:28:33,DNUT,3.440000057220459,2957063.35,3.4000000953674316,3.4600000381469727,DAILY MACD BULLISH RECOVERY,3.1700000762939453,3.3499999046325684,NO TRADE,8,Target Reached
2026-08-26 19:28:33,SOFI,18.84000015258789,73919775.91666667,17.93000030517578,18.860000610351562,DAILY MACD BULLISH RECOVERY,18.079999923706055,18.43000030517578,NO TRADE,8,Target Reached
2026-08-26 19:28:33,PLUG,2.1700000762939453,57336836.56666667,2.119999885559082,2.2100000381469727,DAILY MACD BULLISH RECOVERY,2.200000047683716,2.2100000381469727,NO TRADE,5,Target Reached
2026-08-26 19:28:33,SIRI,28.510000228881836,4827205.2,28.190000534057617,28.770000457763672,DAILY MACD BULLISH RECOVERY,28.820499420166016,29.40999984741211,A+,8,waiting
2026-08-26 19:28:33,OPEN,3.4100000858306885,58575400.86666667,3.380000114440918,3.75,DAILY MACD BULLISH RECOVERY,3.6600000858306885,3.75,NO TRADE,7,"Triggered, Target Not Reached"
2026-08-26 19:28:33,LCID,4.949999809265137,17405221.833333332,4.929999828338623,5.53000020980835,DAILY MACD BULLISH RECOVERY,5.400000095367432,5.53000020980835,A+,8,waiting
2026-08-26 19:28:33,NOK,10.40999984741211,95416027.51666667,9.829999923706055,10.5600004196167,DAILY MACD BULLISH RECOVERY,9.430000305175781,10.170000076293945,NO TRADE,8,Target Reached
2026-08-26 19:28:33,AMC,2.609999895095825,42305968.416666664,2.319999933242798,2.6700000762939453,,,,NO TRADE,1,No Entry
2026-08-26 19:28:33,F,13.899999618530273,50671752.43333333,13.850000381469727,14.180000305175781,DAILY MACD BULLISH RECOVERY,14.5,14.550000190734863,NO TRADE,5,"Triggered, Target Not Reached"
2026-08-26 19:36:04,JBLU,4.989999771118164,30172039.216666665,4.769999980926514,5.21999979019165,DAILY MACD BULLISH RECOVERY,5.230000019073486,5.300000190734863,A,7,waiting
2026-08-26 19:36:04,DNUT,3.440000057220459,2957063.35,3.4000000953674316,3.4600000381469727,DAILY MACD BULLISH RECOVERY,3.1700000762939453,3.3499999046325684,NO TRADE,8,Target Reached
2026-08-26 19:36:04,SOFI,18.84000015258789,73919775.91666667,17.93000030517578,18.860000610351562,DAILY MACD BULLISH RECOVERY,18.079999923706055,18.43000030517578,NO TRADE,8,Target Reached
